TLOC,SEXO,EDAD_V,NIV,Ser_indig,Distancia,Ingreso,Edu_fin,Tener_conyuge,Primaria,Secundaria,Preparatoria,Carrera,Afore,Seguro,Credito,Empenio,Amistad,Familiar,Microfinanza,Credit_Fintech,Nomina_Cuenta,Cuenta_Fintech
0,0,31,3,0,,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0
0,1,25,3,0,,2400,,0,0,1,0,0,0,0,,0,0,0,0,0,,0
1,1,67,2,0,30,0,0,0,1,0,0,0,1,0,,0,1,1,0,0,0,0
1,0,55,2,0,30,8400,0,0,1,0,0,0,1,0,,0,0,0,0,0,1,0
1,0,61,2,1,40,3000,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
0,0,63,8,0,0,7200,,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
1,0,36,2,0,,0,0,0,1,0,0,0,0,0,,0,0,1,0,0,,0
1,1,35,0,0,,2000,,1,0,0,0,0,0,0,,0,0,0,0,0,,0
1,1,56,3,0,,10000,0,0,0,1,0,0,1,0,,0,1,0,0,0,,0
0,1,61,2,1,,8800,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0
1,0,26,6,0,,0,,1,0,0,1,0,0,0,,0,0,0,0,0,,0
1,0,51,3,1,,0,,1,0,1,0,0,0,0,,0,0,0,0,0,,0
1,1,63,0,1,,1800,0,1,0,0,0,0,0,0,,0,0,1,0,0,0,0
0,0,45,8,1,,7500,,0,0,0,0,1,0,0,,0,1,0,0,0,1,0
1,0,29,2,1,0,0,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
1,0,68,3,0,20,0,,0,0,1,0,0,0,0,,0,0,0,0,0,0,0
1,1,73,2,1,,10000,,0,1,0,0,0,1,0,,0,0,0,0,0,0,0
1,1,48,3,0,,3200,0,1,0,1,0,0,1,0,,0,0,0,0,0,0,0
1,1,26,2,0,30,4800,,1,1,0,0,0,0,0,,0,0,0,0,0,,0
0,0,48,2,0,,2400,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
1,1,29,3,0,,4000,,1,0,1,0,0,0,0,,0,0,0,0,0,1,0
1,0,62,2,1,,2000,,0,1,0,0,0,0,0,,0,0,0,0,0,,0
1,0,69,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
1,1,22,6,0,,12000,,1,0,0,1,0,0,0,,0,0,0,0,0,,0
0,1,51,8,1,15,25000,,1,0,0,0,1,1,1,,0,0,0,0,0,1,0
1,0,38,2,1,,3000,0,0,1,0,0,0,1,0,,0,0,0,0,0,,0
1,0,85,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
1,1,45,2,1,,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,0
1,0,41,2,0,,2400,0,1,1,0,0,0,1,0,,0,0,0,0,0,0,0
1,1,77,2,0,,0,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
0,0,89,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
0,0,67,2,0,,4000,,0,1,0,0,0,1,0,,0,0,0,0,0,,0
1,0,44,5,0,,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,,0
0,0,19,6,0,,8000,,1,0,0,1,0,0,0,,0,0,1,0,0,,0
0,0,63,8,1,20,2000,0,0,0,0,0,1,0,0,,0,0,1,0,0,,0
0,0,66,2,0,,2400,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
1,1,69,3,0,40,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0
1,1,65,2,0,,4000,0,1,1,0,0,0,1,0,,0,0,0,0,0,0,0
1,0,31,3,0,,11200,,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
